bill_bill_type,bill_billing_entity,bill_billing_period_end_date,bill_billing_period_start_date,bill_invoice_id,bill_invoicing_entity,bill_payer_account_id,bill_payer_account_name,cost_category,discount,discount_bundled_discount,discount_total_discount,identity_line_item_id,identity_time_interval,line_item_availability_zone,line_item_blended_cost,line_item_blended_rate,line_item_currency_code,line_item_legal_entity,line_item_line_item_description,line_item_line_item_type,line_item_net_unblended_cost,line_item_net_unblended_rate,line_item_normalization_factor,line_item_normalized_usage_amount,line_item_operation,line_item_product_code,line_item_resource_id,line_item_tax_type,line_item_unblended_cost,line_item_unblended_rate,line_item_usage_account_id,line_item_usage_account_name,line_item_usage_amount,line_item_usage_end_date,line_item_usage_start_date,line_item_usage_type,pricing_currency,pricing_lease_contract_length,pricing_offering_class,pricing_public_on_demand_cost,pricing_public_on_demand_rate,pricing_purchase_option,pricing_rate_code,pricing_rate_id,pricing_term,pricing_unit,product,product_comment,product_fee_code,product_fee_description,product_from_location,product_from_location_type,product_from_region_code,product_instance_family,product_instance_type,product_instancesku,product_location,product_location_type,product_operation,product_pricing_unit,product_product_family,product_region_code,product_servicecode,product_sku,product_to_location,product_to_location_type,product_to_region_code,product_usagetype,reservation_amortized_upfront_cost_for_usage,reservation_amortized_upfront_fee_for_billing_period,reservation_availability_zone,reservation_effective_cost,reservation_end_time,reservation_modification_status,reservation_net_amortized_upfront_cost_for_usage,reservation_net_amortized_upfront_fee_for_billing_period,reservation_net_effective_cost,reservation_net_recurring_fee_for_usage,reservation_net_unused_amortized_upfront_fee_for_billing_period,reservation_net_unused_recurring_fee,reservation_net_upfront_value,reservation_normalized_units_per_reservation,reservation_number_of_reservations,reservation_recurring_fee_for_usage,reservation_reservation_a_r_n,reservation_start_time,reservation_subscription_id,reservation_total_reserved_normalized_units,reservation_total_reserved_units,reservation_units_per_reservation,reservation_unused_amortized_upfront_fee_for_billing_period,reservation_unused_normalized_unit_quantity,reservation_unused_quantity,reservation_unused_recurring_fee,reservation_upfront_value,resource_tags,savings_plan_amortized_upfront_commitment_for_billing_period,savings_plan_end_time,savings_plan_instance_type_family,savings_plan_net_amortized_upfront_commitment_for_billing_period,savings_plan_net_recurring_commitment_for_billing_period,savings_plan_net_savings_plan_effective_cost,savings_plan_offering_type,savings_plan_payment_option,savings_plan_purchase_term,savings_plan_recurring_commitment_for_billing_period,savings_plan_region,savings_plan_savings_plan_a_r_n,savings_plan_savings_plan_effective_cost,savings_plan_savings_plan_rate,savings_plan_start_time,savings_plan_total_commitment_to_date,savings_plan_used_commitment
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,tsstww5cmttognkalzwlqirvjy5pycain77sr33jnk6x6iu742ka,2024-05-01T00:00:00Z/2024-05-02T00:00:00Z,,0.0,,USD,"",Tax for product code AmazonS3,Tax,,,0.0,0.0,,AmazonS3,,India GST,0.0,,016266444216,sajeeth pasha,1.0,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""Amazon Simple Storage Service""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,7wfdwssjzgivnou6ycwm43ylzdelorj6uc4yijad6rurszopbafq,2024-05-01T00:00:00Z/2024-05-02T00:00:00Z,,0.0,,USD,"",Tax for product code AmazonCloudWatch,Tax,,,0.0,0.0,,AmazonCloudWatch,,India GST,0.0,,016266444216,sajeeth pasha,1.0,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""AmazonCloudWatch""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,egj3jy74xgf6mjb4oqu5uhescbzydd3e6khtu7g6alfbuqm7ckma,2024-05-04T00:00:00Z/2024-05-05T00:00:00Z,,0.0,0.0000000000,USD,"",$0.0 per API Request for ResourceList usage in US West (Oregon),Usage,,,0.0,0.0,ListPlaceIndexes,AmazonLocationService,,,0.0,0.0000000000,016266444216,sajeeth pasha,1.0,2024-05-04T17:00:00.000Z,2024-05-04T16:00:00.000Z,USW2-ResourceList,USD,,,1.0E-5,0.0000100000,,226RYXS9HH3WYDEA.FSFDKQD35U.6YS6EN2CT7,28426055959,,API Request,"{""provider"":""None"",""product_name"":""Amazon Location Service"",""subservice"":""Service Resources"",""region"":""us-west-2"",""type"":""Resource list requests"",""servicename"":""Amazon Location Service"",""pricingplan"":""None""}",,,,,,,,,,US West (Oregon),AWS Region,,,AmazonLocationService,us-west-2,AmazonLocationService,226RYXS9HH3WYDEA,,,,USW2-ResourceList,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,7705137236,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,grv7d7yb6wjz4srujbsahc42fzevg6ojgbkgkc7ovtzcdkymhtsa,2024-05-05T00:00:00Z/2024-05-06T00:00:00Z,,0.0,0.0000000000,USD,"",$0.0 per API Request for ResourceList usage in US West (Oregon),Usage,,,0.0,0.0,ListTrackers,AmazonLocationService,,,0.0,0.0000000000,016266444216,sajeeth pasha,1.0,2024-05-05T03:00:00.000Z,2024-05-05T02:00:00.000Z,USW2-ResourceList,USD,,,1.0E-5,0.0000100000,,226RYXS9HH3WYDEA.FSFDKQD35U.6YS6EN2CT7,28426055959,,API Request,"{""provider"":""None"",""product_name"":""Amazon Location Service"",""subservice"":""Service Resources"",""region"":""us-west-2"",""type"":""Resource list requests"",""servicename"":""Amazon Location Service"",""pricingplan"":""None""}",,,,,,,,,,US West (Oregon),AWS Region,,,AmazonLocationService,us-west-2,AmazonLocationService,226RYXS9HH3WYDEA,,,,USW2-ResourceList,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,7705137236,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,egj3jy74xgf6mjb4oqu5uhescbzydd3e6khtu7g6alfbuqm7ckma,2024-05-09T00:00:00Z/2024-05-10T00:00:00Z,,0.0,0.0000000000,USD,"",$0.0 per API Request for ResourceList usage in US West (Oregon),Usage,,,0.0,0.0,ListPlaceIndexes,AmazonLocationService,,,0.0,0.0000000000,016266444216,sajeeth pasha,1.0,2024-05-09T17:00:00.000Z,2024-05-09T16:00:00.000Z,USW2-ResourceList,USD,,,1.0E-5,0.0000100000,,226RYXS9HH3WYDEA.FSFDKQD35U.6YS6EN2CT7,28426055959,,API Request,"{""provider"":""None"",""product_name"":""Amazon Location Service"",""subservice"":""Service Resources"",""region"":""us-west-2"",""type"":""Resource list requests"",""servicename"":""Amazon Location Service"",""pricingplan"":""None""}",,,,,,,,,,US West (Oregon),AWS Region,,,AmazonLocationService,us-west-2,AmazonLocationService,226RYXS9HH3WYDEA,,,,USW2-ResourceList,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,7705137236,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,grv7d7yb6wjz4srujbsahc42fzevg6ojgbkgkc7ovtzcdkymhtsa,2024-05-10T00:00:00Z/2024-05-11T00:00:00Z,,0.0,0.0000000000,USD,"",$0.0 per API Request for ResourceList usage in US West (Oregon),Usage,,,0.0,0.0,ListTrackers,AmazonLocationService,,,0.0,0.0000000000,016266444216,sajeeth pasha,1.0,2024-05-10T03:00:00.000Z,2024-05-10T02:00:00.000Z,USW2-ResourceList,USD,,,1.0E-5,0.0000100000,,226RYXS9HH3WYDEA.FSFDKQD35U.6YS6EN2CT7,28426055959,,API Request,"{""provider"":""None"",""product_name"":""Amazon Location Service"",""subservice"":""Service Resources"",""region"":""us-west-2"",""type"":""Resource list requests"",""servicename"":""Amazon Location Service"",""pricingplan"":""None""}",,,,,,,,,,US West (Oregon),AWS Region,,,AmazonLocationService,us-west-2,AmazonLocationService,226RYXS9HH3WYDEA,,,,USW2-ResourceList,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,7705137236,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,egj3jy74xgf6mjb4oqu5uhescbzydd3e6khtu7g6alfbuqm7ckma,2024-05-14T00:00:00Z/2024-05-15T00:00:00Z,,0.0,0.0000000000,USD,"",$0.0 per API Request for ResourceList usage in US West (Oregon),Usage,,,0.0,0.0,ListPlaceIndexes,AmazonLocationService,,,0.0,0.0000000000,016266444216,sajeeth pasha,1.0,2024-05-14T17:00:00.000Z,2024-05-14T16:00:00.000Z,USW2-ResourceList,USD,,,1.0E-5,0.0000100000,,226RYXS9HH3WYDEA.FSFDKQD35U.6YS6EN2CT7,28426055959,,API Request,"{""provider"":""None"",""product_name"":""Amazon Location Service"",""subservice"":""Service Resources"",""region"":""us-west-2"",""type"":""Resource list requests"",""servicename"":""Amazon Location Service"",""pricingplan"":""None""}",,,,,,,,,,US West (Oregon),AWS Region,,,AmazonLocationService,us-west-2,AmazonLocationService,226RYXS9HH3WYDEA,,,,USW2-ResourceList,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,7705137236,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,grv7d7yb6wjz4srujbsahc42fzevg6ojgbkgkc7ovtzcdkymhtsa,2024-05-15T00:00:00Z/2024-05-16T00:00:00Z,,0.0,0.0000000000,USD,"",$0.0 per API Request for ResourceList usage in US West (Oregon),Usage,,,0.0,0.0,ListTrackers,AmazonLocationService,,,0.0,0.0000000000,016266444216,sajeeth pasha,1.0,2024-05-15T03:00:00.000Z,2024-05-15T02:00:00.000Z,USW2-ResourceList,USD,,,1.0E-5,0.0000100000,,226RYXS9HH3WYDEA.FSFDKQD35U.6YS6EN2CT7,28426055959,,API Request,"{""provider"":""None"",""product_name"":""Amazon Location Service"",""subservice"":""Service Resources"",""region"":""us-west-2"",""type"":""Resource list requests"",""servicename"":""Amazon Location Service"",""pricingplan"":""None""}",,,,,,,,,,US West (Oregon),AWS Region,,,AmazonLocationService,us-west-2,AmazonLocationService,226RYXS9HH3WYDEA,,,,USW2-ResourceList,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,7705137236,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,egj3jy74xgf6mjb4oqu5uhescbzydd3e6khtu7g6alfbuqm7ckma,2024-05-19T00:00:00Z/2024-05-20T00:00:00Z,,0.0,0.0000000000,USD,"",$0.0 per API Request for ResourceList usage in US West (Oregon),Usage,,,0.0,0.0,ListPlaceIndexes,AmazonLocationService,,,0.0,0.0000000000,016266444216,sajeeth pasha,1.0,2024-05-19T17:00:00.000Z,2024-05-19T16:00:00.000Z,USW2-ResourceList,USD,,,1.0E-5,0.0000100000,,226RYXS9HH3WYDEA.FSFDKQD35U.6YS6EN2CT7,28426055959,,API Request,"{""provider"":""None"",""product_name"":""Amazon Location Service"",""subservice"":""Service Resources"",""region"":""us-west-2"",""type"":""Resource list requests"",""servicename"":""Amazon Location Service"",""pricingplan"":""None""}",,,,,,,,,,US West (Oregon),AWS Region,,,AmazonLocationService,us-west-2,AmazonLocationService,226RYXS9HH3WYDEA,,,,USW2-ResourceList,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,7705137236,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2024-06-01T00:00:00.000Z,2024-05-01T00:00:00.000Z,,,016266444216,sajeeth pasha,{},{},,,grv7d7yb6wjz4srujbsahc42fzevg6ojgbkgkc7ovtzcdkymhtsa,2024-05-20T00:00:00Z/2024-05-21T00:00:00Z,,0.0,0.0000000000,USD,"",$0.0 per API Request for ResourceList usage in US West (Oregon),Usage,,,0.0,0.0,ListTrackers,AmazonLocationService,,,0.0,0.0000000000,016266444216,sajeeth pasha,1.0,2024-05-20T03:00:00.000Z,2024-05-20T02:00:00.000Z,USW2-ResourceList,USD,,,1.0E-5,0.0000100000,,226RYXS9HH3WYDEA.FSFDKQD35U.6YS6EN2CT7,28426055959,,API Request,"{""provider"":""None"",""product_name"":""Amazon Location Service"",""subservice"":""Service Resources"",""region"":""us-west-2"",""type"":""Resource list requests"",""servicename"":""Amazon Location Service"",""pricingplan"":""None""}",,,,,,,,,,US West (Oregon),AWS Region,,,AmazonLocationService,us-west-2,AmazonLocationService,226RYXS9HH3WYDEA,,,,USW2-ResourceList,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,7705137236,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
