tags,configurationItemVersion,configurationItemCaptureTime,configurationItemCaptureDate,configurationStateId,awsAccountId,configurationItemStatus,resourceType,resourceId,awsRegion
{},1.3,2024-05-20T13:05:31.326Z,2024-05-20,1716210331326,076395046979,ResourceDiscovered,AWS::S3::Bucket,map-276-test-1,us-east-1
{},1.3,2024-05-20T12:41:29.763Z,2024-05-20,1716208889763,076395046979,ResourceDiscovered,AWS::S3::Bucket,map-276-test-2,us-east-1
{},1.3,2024-05-20T11:10:18.807Z,2024-05-20,1716203418807,076395046979,ResourceDeleted,AWS::S3::Bucket,map-276-tf-test-1,us-east-1
{},1.3,2024-05-20T11:16:46.061Z,2024-05-20,1716203806061,076395046979,ResourceDiscovered,AWS::S3::Bucket,map-276-tf-test-1,us-east-1
{},1.3,2024-05-20T11:38:25.872Z,2024-05-20,1716205105872,076395046979,ResourceDeleted,AWS::S3::Bucket,map-276-tf-test-1,us-east-1
{},1.3,2024-05-20T11:55:53.624Z,2024-05-20,1716206153624,076395046979,ResourceDiscovered,AWS::S3::Bucket,map-276-tf-test-1,us-east-1
{},1.3,2024-05-20T12:02:24.949Z,2024-05-20,1716206544949,076395046979,ResourceDeleted,AWS::S3::Bucket,map-276-tf-test-1,us-east-1
{},1.3,2024-05-20T12:04:35.364Z,2024-05-20,1716206675364,076395046979,ResourceDiscovered,AWS::S3::Bucket,map-276-tf-test-1,us-east-1
{},1.3,2024-05-20T11:36:14.996Z,2024-05-20,1716204974996,076395046979,ResourceDiscovered,AWS::S3::Bucket,map-276-tf-test-2,us-east-1
{},1.3,2024-05-20T11:38:27.915Z,2024-05-20,1716205107915,076395046979,ResourceDeleted,AWS::S3::Bucket,map-276-tf-test-2,us-east-1
{},1.3,2024-05-20T11:51:41.579Z,2024-05-20,1716205901579,076395046979,ResourceDiscovered,AWS::S3::Bucket,map-276-tf-test-2,us-east-1
{},1.3,2024-05-20T12:00:21.811Z,2024-05-20,1716206421811,076395046979,ResourceDeleted,AWS::S3::Bucket,map-276-tf-test-2,us-east-1
{},1.3,2024-05-20T11:40:31.632Z,2024-05-20,1716205231632,076395046979,ResourceDiscovered,AWS::S3::Bucket,mmi-desti-sai,us-east-1
{},1.3,2024-05-20T18:02:12.621Z,2024-05-20,1716228132621,076395046979,ResourceDiscovered,AWS::S3::Bucket,mmi-transfer-test-sai-manaswini,us-east-1
{'ArchonSubscription': 'sandbox'},1.3,2024-05-20T04:41:49.028Z,2024-05-20,1716180109028,076395046979,ResourceDiscovered,AWS::SQS::Queue,https://sqs.us-east-1.amazonaws.com/076395046979/9828eada-971c-45fd-9512-a86856284233_sandbox,us-east-1
{'ArchonSubscription': 'sandbox'},1.3,2024-05-20T04:41:49.344Z,2024-05-20,1716180109344,076395046979,ResourceDiscovered,AWS::SQS::Queue,https://sqs.us-east-1.amazonaws.com/076395046979/ArchonMultiaccountTesting-DVT-1,us-east-1
{'ArchonSubscription': 'sandbox'},1.3,2024-05-20T04:41:49.660Z,2024-05-20,1716180109660,076395046979,ResourceDiscovered,AWS::SQS::Queue,https://sqs.us-east-1.amazonaws.com/076395046979/ArchonMultiaccount_testing-DVT-3,us-east-1
{'ArchonSubscription': 'sandbox'},1.3,2024-05-20T04:41:49.975Z,2024-05-20,1716180109975,076395046979,ResourceDiscovered,AWS::SQS::Queue,https://sqs.us-east-1.amazonaws.com/076395046979/Maultiaccount_testing-1,us-east-1
{'ArchonSubscription': 'sandbox'},1.3,2024-05-20T04:41:50.290Z,2024-05-20,1716180110290,076395046979,ResourceDiscovered,AWS::SQS::Queue,https://sqs.us-east-1.amazonaws.com/076395046979/bda28615-420c-4640-a4ba-f926d0aa66d1_sandbox,us-east-1
{'ArchonSubscription': 'sandbox'},1.3,2024-05-20T04:41:50.603Z,2024-05-20,1716180110603,076395046979,ResourceDiscovered,AWS::SQS::Queue,https://sqs.us-east-1.amazonaws.com/076395046979/cd627433-fe06-4fc8-8680-98852d823077_sandbox,us-east-1
{'ArchonSubscription': 'sandbox'},1.3,2024-05-20T04:41:50.916Z,2024-05-20,1716180110916,076395046979,ResourceDiscovered,AWS::SQS::Queue,https://sqs.us-east-1.amazonaws.com/076395046979/testing_DVT,us-east-1
{},1.3,2024-05-20T09:48:11.149Z,2024-05-20,1716198491149,076395046979,ResourceDeleted,AWS::SageMaker::NotebookInstance,ai-test-instance,us-east-1
{},1.3,2024-05-20T10:44:29.242Z,2024-05-20,1716201869242,076395046979,ResourceDeleted,AWS::StepFunctions::StateMachine,arn:aws:states:us-east-1:076395046979:stateMachine:enai_request_orchestrator,us-east-1
